Places,Places without underlines and Fl Oc,Formatted address,Latitude,Longitude,Postal code,City,Country,Region,Department,Department number
"Columbia Falls, Mont.",,"Columbia Falls, MT 59912, USA",48.3799643,-114.1804038,59912,Columbia Falls,United States,Montana,Flathead County,Flathead County
Ronfengeray (Orne),,"Orne, France",48.6388567,0.0848201,,,France,Normandy,Orne,Orne
Le Vaison (Lozère),,"Lozère, France",44.494203,3.5812692,,,France,Occitanie,Lozère,Lozère
Covilhâ,,"6200 Covilha, Portugal",40.2805633,-7.5043272,6200,Covilha,Portugal,Castelo Branco District,,
Montagne I.P.E.,,,,,,,,,,
"Ste-Thérèse, Qué.",,"Sainte-Thérèse, QC, Canada",45.6397183,-73.8439099,,Sainte-Thérèse,Canada,Quebec,Thérèse-De Blainville Regional County Municipality,Thérèse-De Blainville Regional County Municipality
"St-Janiver, Qué.",,"Saint-Janvier-de-Joly, QC G0S 1M0, Canada",46.490254,-71.681139,G0S 1M0,Saint-Janvier-de-Joly,Canada,Quebec,Lotbinière Regional County Municipality,Lotbinière Regional County Municipality
"Mutisena (Norte de Santander, Col.)",,"Mutiscua, North Santander, Colombia",7.300196,-72.746803,,Mutiscua,Colombia,North Santander,Mutiscua,Mutiscua
Widnau (St.Gallen),,"Widnau, Switzerland",47.4055145,9.6375563,,Widnau,Switzerland,St. Gallen,Rheintal,Rheintal
"St-Anselme, Qué.",,"Saint-Anselme, QC G0R, Canada",46.6297444,-70.9697098,G0R,Saint-Anselme,Canada,Quebec,Bellechasse Regional County Municipality,Bellechasse Regional County Municipality
Lusarreta (Navarra),,"31438 Lusarreta, Navarra, Spain",42.9324368,-1.3939412,31438,Lusarreta,Spain,Navarra,Navarra,NA
Chênes-Bourg (Genève),,"Chêne-Bourg, Switzerland",46.19735,6.19731,,Chêne-Bourg,Switzerland,Geneva,Geneva,Geneva
Sotopalacios (Burgos),,"09140 Sotopalacios, Burgos, Spain",42.4338341,-3.6810105,9140,Sotopalacios,Spain,Castilla y León,Burgos,Burgos
Maquiriáin (Navarra),,"31194 Makirriain, Nafarroa, Spain",42.8719658,-1.6443458,31194,Makirriain,Spain,Nafarroa,Nafarroa,NA
Gruensfeld (Baden),,"97947 Grünsfeld, Germany",49.607223,9.7466028,97947,Grünsfeld,Germany,Baden-Württemberg,Stuttgart,Süd
Hachenburg (Nassau),,"Ziegeleiweg 3, 57627 Hachenburg, Germany",50.66087,7.81068,57627,Hachenburg,Germany,Rheinland-Pfalz,,
"Greenfield, Wisc.",,"Greenfield, WI, USA",42.9614039,-88.0125865,,Greenfield,United States,Wisconsin,Milwaukee County,Milwaukee County
Moen-hout-bij-Tilburg (N-Brabant),,"Tilburg, Netherlands",51.560596,5.0919143,,Tilburg,Netherlands,North Brabant,Tilburg,Tilburg
Aras (Navarra),,"31239 Aras, Navarre, Navarre, Spain",42.5617393,-2.3560694,31239,"Aras, Navarre",Spain,Navarre,Navarre,NA
Le Muy (Var),,"83490 Le Muy, France",43.472036,6.566575,83490,Le Muy,France,Provence-Alpes-Côte d'Azur,Var,Var
St-Gérard (Tarn),,"Saint-Gérard, 81310 Lisle-sur-Tarn, France",43.9089451,1.7192532,81310,Lisle-sur-Tarn,France,Occitanie,Tarn,Tarn
Golleow (Schlesien),,"Golejów, Rybnik, Rybnik, Poland",50.1419444,18.5540553,44,Rybnik,Poland,Silesian Voivodeship,Rybnik County,Rybnik County
Sant'Antino (Napoli),,"80029 Sant'Antimo, Metropolitan City of Naples, Italy",40.9420301,14.2308738,80029,,Italy,Campania,Metropolitan City of Naples,NA
Murada-Orihuela,,"03315 La Murada, Alicante, Spain",38.1715352,-0.961758,3315,La Murada,Spain,Comunidad Valenciana,Alicante,A
Murcia,,"Murcia, Spain",37.9922399,-1.1306544,,Murcia,Spain,Region of Murcia,Murcia,MU
Tordehumos (Valladolid),,"47830 Tordehumos, Valladolid, Spain",41.8152783,-5.1575429,47830,Tordehumos,Spain,Castile and León,Valladolid,VA
Bälum (Danmark),,"9574 Bælum, Denmark",56.830722,10.117683,9574,Bælum,Denmark,,,
Korec (Čechy),,"Korets', Rivne Oblast, Ukraine, 34700",50.6227649,27.1614453,34700,Korets',Ukraine,Rivne Oblast,Korets'kyi district,Korets'kyi district
Fermoselle (Zamora),,"49220 Fermoselle, Zamora, Spain",41.316623,-6.3939519,49220,Fermoselle,Spain,Castile and León,Zamora,Zamora
"Stanisław Górny, Krak.",,"34-105 Stanisław Górny, Poland",49.9103461,19.6293691,34-105,Stanisław Górny,Poland,Lesser Poland Voivodeship,Wadowice County,Wadowice County
S. Agata (Bologna),,"40019 Sant'Agata Bolognese, Metropolitan City of Bologna, Italy",44.6721968,11.1183147,40019,,Italy,Emilia-Romagna,Metropolitan City of Bologna,BO
? (Africa),,Africa,-8.783195,34.508523,,,,,,
El Retiro (Antioquía),,"Retiro, Antioquia, Colombia",6.060955,-75.502582,,Retiro,Colombia,Antioquia,Retiro,Retiro
Ravé (Burgos),,"09130 Rabé de las Calzadas, Burgos, Spain",42.340357,-3.8343617,9130,Rabé de las Calzadas,Spain,Castile and León,Burgos,Burgos
Versailles (Seine-et-O),,"78000 Versailles, France",48.801408,2.130122,78000,Versailles,France,Île-de-France,Yvelines,Yvelines
Aguileta (Álava),,"01193 Egileta, Araba, Spain",42.8102328,-2.5352443,1193,Egileta,Spain,Euskadi,Araba,Araba
Schlebusch (Rheinland),,"Schlebusch, 51375 Leverkusen, Germany",51.0284377,7.0506967,51375,Leverkusen,Germany,North Rhine-Westphalia,Cologne,K
Lajen (Bolzano),,"39040 Lajen, South Tyrol, Italy",46.6082329,11.5658188,39040,Lajen,Italy,Trentino-South Tyrol,South Tyrol,BZ
Borrisoleigh (Tipperary),,"Borrisland North, Borrisoleigh, Co. Tipperary, Ireland",52.7525257,-7.9578875,,Borrisoleigh,Ireland,County Tipperary,,
Roueil (Seine-et-O),,"92500 Rueil-Malmaison, France",48.882767,2.17693,92500,Rueil-Malmaison,France,Île-de-France,Hauts-de-Seine,Hauts-de-Seine
Malbergen (Hannover),,"Malbergen, 49124 Georgsmarienhütte, Germany",52.222013,8.0372651,49124,Georgsmarienhütte,Germany,Niedersachsen,,
Aquilonia (Avellino),,"83041 Aquilonia, Province of Avellino, Italy",40.9965681,15.488828,83041,,Italy,Campania,Province of Avellino,AV
Beerse (Anvers),,"2340 Beerse, Belgium",51.31949,4.85482,2340,Beerse,Belgium,Flanders,Antwerp,AN
Glenties (Donegal),,"Drumnasillagh, Glenties, Co. Donegal, Ireland",54.7971669,-8.2830316,,Glenties,Ireland,County Donegal,,
Vimercate (Milano),,"20871 Vimercate, Province of Monza and Brianza, Italy",45.6158614,9.3684135,20871,Vimercate,Italy,Lombardy,Province of Monza and Brianza,MB
Ozillac (Charente-M),,"17500 Ozillac, France",45.393882,-0.391496,17500,Ozillac,France,Nouvelle-Aquitaine,Charente-Maritime,Charente-Maritime
"Kołomja, USSR",,"Kolomyya, Ivano-Frankivsk Oblast, Ukraine, 78200",48.5304917,25.0412055,78200,Kolomyya,Ukraine,Ivano-Frankivsk Oblast,Kolomyis'kyi district,Kolomyis'kyi district
Irurita (Navarra),,"31730 Irurita, Navarre, Spain",43.1310163,-1.5455995,31730,Irurita,Spain,Navarre,Navarre,NA
Rimella (Novara),,"13020 Rimella, Province of Vercelli, Italy",45.907686,8.1821922,13020,Rimella,Italy,Piedmont,Province of Vercelli,VC
Leiberg (Westfalen),,"Leiberg, 33181 Bad Wünnenberg, Germany",51.520368,8.6568535,33181,Bad Wünnenberg,Germany,North Rhine-Westphalia,Detmold,Detmold
Aixe sur Vienne (H-Vienne),,"87700 Aixe-sur-Vienne, France",45.795444,1.134253,87700,Aixe-sur-Vienne,France,Nouvelle-Aquitaine,Haute-Vienne,Haute-Vienne
Insming (Moselle),,"57670 Insming, France",48.957864,6.872293,57670,Insming,France,Grand Est,Moselle,Moselle
Coutances (Manche),,"50200 Coutances, France",49.047808,-1.4452609,50200,Coutances,France,Normandy,Manche,Manche
Bologne (H-Marne),,"52310 Bologne, France",48.202076,5.141196,52310,Bologne,France,Grand Est,Haute-Marne,Haute-Marne
Senlis (Oise),,"60300 Senlis, France",49.205164,2.583212,60300,Senlis,France,Hauts-de-France,Oise,Oise
"Cuquio, Jal.",,"Cuquío, Jalisco, Mexico",20.9275862,-103.0230461,,Cuquío,Mexico,Jalisco,,
Frastanz (Vorarlberg),,"6820 Frastanz, Austria",47.2170959,9.6311797,6820,Frastanz,Austria,Vorarlberg,Feldkirch District,Feldkirch District
"Sandwich, Ont.",,"Sandwich, Windsor, ON, Canada",42.296387,-83.06987,,Windsor,Canada,Ontario,Essex County,Essex County
Belturbet (Cavan),,"Kilconny, Belturbet, Co. Cavan, Ireland",54.1019056,-7.4496679,,Belturbet,Ireland,County Cavan,,
Weiterstoffer (Württemberg),,"Württemberg, Germany",49.0013609,9.5845172,,,Germany,Baden-Württemberg,,
"Lorain, Ohio",,"Lorain, OH, USA",41.452819,-82.1823746,,Lorain,United States,Ohio,Lorain County,Lorain County
Larodde (Puy-de-D),,"63690 Larodde, France",45.524928,2.549454,63690,Larodde,France,Auvergne-Rhône-Alpes,Puy-de-Dome,Puy-de-Dome
Vieite (Orense),,"Rua Bieite, 83, 32419, Ourense, Spain",42.3431815,-8.127151,32419,,Spain,Galicia,Ourense,Ourense
"Liousinn (Kiaoho, Chine)",,China,35.86166,104.195397,,,China,,,
St-Gaudens (H-Garonne),,"31800 Saint-Gaudens, France",43.106895,0.723763,31800,Saint-Gaudens,France,Occitanie,Haute-Garonne,Haute-Garonne
Eghezée (Namur),,"5310 Eghezee, Belgium",50.59265,4.90365,5310,Eghezee,Belgium,Wallonia,Province of Namur,NA
"C. Lerdo, Dgo.",,"Calle Lerdo, Durango, Dgo., Mexico",24.014097,-104.6723765,,Durango,Mexico,Durango,,
Sérignan (Vaucluse),,"Sérignan-du-Comtat, France",44.18884,4.844677,,Sérignan-du-Comtat,France,Provence-Alpes-Côte d'Azur,Vaucluse,Vaucluse
Venansault (Vendée),,"85190 Venansault, France",46.685358,-1.512982,85190,Venansault,France,Pays de la Loire,Vendée,Vendée
Zweibrücken (Bayern),,"Hallstraße 7, 66482 Zweibrücken, Germany",49.25005,7.36066,66482,Zweibrücken,Germany,Rheinland-Pfalz,,
Dintesheim (Deutschland),,"55234 Dintesheim, Germany",49.7076702,8.1437106,55234,Dintesheim,Germany,Rhineland-Palatinate,,
Gretzenbach (Solothurn),,"Gretzenbach, Switzerland",47.3603017,7.9951019,,Gretzenbach,Switzerland,Solothurn,Olten District,Olten District
Langemierde (N-Brabant),,"5094 Lage Mierde, Netherlands",51.4059976,5.150455,5094,Lage Mierde,Netherlands,Noord-Brabant,Reusel-de Mierden,Reusel-de Mierden
Weilerzum Thunn (Luxembourg),,"Weiler-la-Tour, Luxembourg",49.5428731,6.1998456,,Weiler-la-Tour,Luxembourg,Luxembourg District,Luxembourg,Luxembourg
Tornio,,"Tornio, Finland",65.847301,24.1520236,,Tornio,Finland,,,
Wangs (St Gallen),,"Vilters-Wangs, Switzerland",47.0299988,9.4484028,,Vilters-Wangs,Switzerland,St. Gallen,Sarganserland,Sarganserland
Santuario (Antioquia),,"El Santuario, Antioquia, Colombia",6.126417,-75.2595731,,,Colombia,Antioquia,El Santuario,El Santuario
Sazny (Györ-Sopron),,"Győr, Hungary",47.6874569,17.6503974,,Győr,Hungary,,,
Loudeac (Côtes-du-N),,"22600 Loudéac, France",48.176274,-2.752021,22600,Loudéac,France,Brittany,Côtes-d'Armor,Côtes-d'Armor
"Dunkirk, N.Y.",,"Dunkirk, NY 14048, USA",42.4795019,-79.3339324,14048,Dunkirk,United States,New York,Chautauqua County,Chautauqua County
Aschau (Tirol),,"6274 Aschau im Zillertal, Austria",47.2666011,11.8953282,6274,Aschau im Zillertal,Austria,Tyrol,Schwaz District,Schwaz District
Mendavia (Navarra),,"31587 Mendavia, Navarre, Spain",42.4439698,-2.1993337,31587,Mendavia,Spain,Navarre,Navarre,NA
Labrousse (Dordogne),,"Labrousse, 24380 Chalagnac, France",45.10176,0.673248,24380,Chalagnac,France,Nouvelle-Aquitaine,Dordogne,Dordogne
Cadeglioppi (Verona),,"37050 Ca' degli Oppi, VR, Italy",45.2948512,11.1357028,37050,Ca' degli Oppi,Italy,Veneto,Province of Verona,VR
Shepton Mallet (Somerset),,"Shepton Mallet, UK",51.1909,-2.547886,,Shepton Mallet,United Kingdom,England,Somerset,Somerset
Blamont (Doubs),,"25310 Blamont, France",47.3862,6.847605,25310,Blamont,France,Bourgogne-Franche-Comté,Doubs,Doubs
Encantado (Rio Gr. do Sul),,"Encantado, RS, 95960-000, Brazil",-29.2360837,-51.869606,95960-000,Encantado,Brazil,State of Rio Grande do Sul,Encantado,Encantado
Cabrobó (Pernambuco),,"Cabrobó, State of Pernambuco, 56180-000, Brazil",-8.5081924,-39.3102652,56180-000,Cabrobó,Brazil,State of Pernambuco,Cabrobó,Cabrobó
Yseure (Allier),,"03400 Yzeure, France",46.566314,3.354775,3400,Yzeure,France,Auvergne-Rhône-Alpes,Allier,Allier
Flacq (Maurice),,"Flacq District, Mauritius",-20.2257836,57.7119274,,,Mauritius,Flacq District,,
Osipony,,,,,,,,,,
"Loretto, Pa.",,"Loretto, PA 15940, USA",40.5031263,-78.630296,15940,Loretto,United States,Pennsylvania,Cambria County,Cambria County
Ribeira Grande (Angra),,"9600 Ribeira Grande, Portugal",37.8210369,-25.5148137,9600,Ribeira Grande,Portugal,Azores,,
Hoorn,,"Hoorn, Netherlands",52.6423654,5.0602124,,Hoorn,Netherlands,North Holland,Hoorn,Hoorn
Jasionka,,"Jasionka, Poland",50.1192541,22.0602627,32,Jasionka,Poland,Podkarpackie Voivodeship,rzeszowski,rzeszowski
Tsihpao (Chine),,China,35.86166,104.195397,,,China,,,
St-Jean (Finistère),,"Saint-Jean-Trolimon, France",47.864871,-4.280521,,Saint-Jean-Trolimon,France,Brittany,Finistere,Finistere
"Wysocko, Rzesz.",,"Wysocko, Poland",49.9865668,22.831628,37,Wysocko,Poland,Podkarpackie Voivodeship,Jarosław County,Jarosław County
"Les Cèdres, Qué.",,"Les Cèdres, QC, Canada",45.3095043,-74.0590779,,Les Cèdres,Canada,Quebec,Vaudreuil-Soulanges Regional County Municipality,Vaudreuil-Soulanges Regional County Municipality
Valle de Gourinhos (Bragança),,"Ourinhos - State of São Paulo, Brazil",-22.9799015,-49.8698965,,,Brazil,State of São Paulo,Ourinhos,Ourinhos
Anversa (Aquila),,"67030 Anversa degli Abruzzi, Province of L'Aquila, Italy",41.995886,13.8040788,67030,Anversa degli Abruzzi,Italy,Abruzzo,Province of L'Aquila,AQ
Alveringhem (Fl Oc),,"Alveringem, Belgium",51.0123224,2.7095311,,Alveringem,Belgium,Flanders,West Flanders,WV
Padova,,"Padua, Province of Padua, Italy",45.4064349,11.8767611,,Padua,Italy,Veneto,Province of Padua,PD
Cerviá (Lérida),,"25460 Cervià de les Garrigues, Lleida, Spain",41.4274049,0.8609602,25460,Cervià de les Garrigues,Spain,Catalonia,Lleida,Lleida
"Bukowiec Wyzni, Polska",,"58-533 Bukowiec, Poland",50.8261855,15.8210025,58-533,Bukowiec,Poland,Lower Silesian Voivodeship,jeleniogórski,jeleniogórski
Sobral do Campo (Castelo Branco),,"Sobral do Campo, Portugal",39.9982825,-7.5650377,,,Portugal,Castelo Branco District,,
Clézentaein (Vosges),,"88700 Clézentaine, France",48.4087699,6.540512,88700,Clézentaine,France,Grand Est,Vosges,Vosges
Lit-et-Mixe (Landes),,"40170 Lit-et-Mixe, France",44.033876,-1.258325,40170,Lit-et-Mixe,France,Nouvelle-Aquitaine,Landes,Landes
Mongui (Boyacá),,"Monguí, Boyaca, Colombia",5.7240624,-72.8487442,,Monguí,Colombia,Boyaca,Monguí,Monguí
"Baie-du-Febvre, Qué.",,"Baie-du-Febvre, QC J0G 1A0, Canada",46.1381938,-72.720917,J0G 1A0,Baie-du-Febvre,Canada,Quebec,Nicolet-Yamaska Regional County Municipality,Nicolet-Yamaska Regional County Municipality
Eguisheim (B-Rhin),,"Eguisheim, France",48.043265,7.306522,,Eguisheim,France,Grand Est,Haut-Rhin,Haut-Rhin
"Lovell, Mass.",,"Lovells Island, Boston, MA, USA",42.3292536,-70.9271871,,Boston,United States,Massachusetts,Suffolk County,Suffolk County
Machinventa (Guipúzcoa),,"20200 Matxinbenta, Gipuzkoa, Spain",43.1080004,-2.2415557,20200,Matxinbenta,Spain,Euskadi,Gipuzkoa,SS
Mussy-la-Ville (Luxembourg),,"Mussy-la-Ville, 6750 Musson, Belgium",49.570673,5.6620086,6750,Musson,Belgium,Wallonia,Luxembourg,LX
Clonmore (Carlow),,"Glebe, Clonmore, Co. Carlow, Ireland",52.8263338,-6.5692899,,Clonmore,Ireland,County Carlow,,
"Grodek (Podlachia, Polska)",,"Gródek, Poland",53.0955034,23.6595152,16,Gródek,Poland,Podlaskie Voivodeship,Białystok County,Białystok County
Sestri Levante (Genova),,"16039 Sestri Levante, Metropolitan City of Genoa, Italy",44.2763654,9.4008281,16039,Sestri Levante,Italy,Liguria,Metropolitan City of Genoa,GE
St-Christophe (Gironde),,"33230 Saint-Christophe-de-Double, France",45.080446,0.015652,33230,Saint-Christophe-de-Double,France,Nouvelle-Aquitaine,Gironde,Gironde
Sr. Iesus e S. Pedro do Carvalhal (Extremadura),,"R. Sr. Jesus, 2540, Portugal",39.2829365,-9.1353553,2540,,Portugal,Leiria,,
Lingen (Hannover),,"Lingen, Germany",52.5403079,7.3292862,,Lingen,Germany,Lower Saxony,,
Lattaquié (Syrie),,"Latakia, Syria",35.5407103,35.7952667,,Latakia,Syria,Latakia Governorate,Latakia District,Latakia District
St. Eugenia (Trás-os-Montes),,"Santa Eugénia, 5070, Portugal",41.3486484,-7.4103913,5070,,Portugal,Vila Real District,,
Forchheim (Bayern),,"91301 Forchheim, Germany",49.7213064,11.0698834,91301,Forchheim,Germany,Bavaria,Upper Franconia,Upper Franconia
Laburu (Guipúzcoa),,"20491 Leaburu, Gipuzkoa, Spain",43.1236566,-2.0530406,20491,Leaburu,Spain,Basque Country,Gipuzkoa,SS
"Cut off, La.",,"Cut Off, LA 70345, USA",29.5427168,-90.3381361,70345,Cut Off,United States,Louisiana,Lafourche Parish,Lafourche Parish
Manhac (Aveyron),,"12160 Manhac, France",44.255088,2.470469,12160,Manhac,France,Occitanie,Aveyron,Aveyron
Colway (England),,"England, UK",52.3555177,-1.1743197,,,United Kingdom,England,,
Oostroozebeke (Fl Oc),,"8780 Oostrozebeke, Belgium",50.9202012,3.3346008,8780,Oostrozebeke,Belgium,Flanders,West Flanders,WV
Lageado (Rio Gr. do SuI),,"Lajeado, RS, Brazil",-29.459582,-51.9649421,,Lajeado,Brazil,State of Rio Grande do Sul,Lajeado,Lajeado
"Eggertsville, N.Y.",,"Eggertsville, NY 14226, USA",42.963391,-78.8039226,14226,Eggertsville,United States,New York,Erie County,Erie County
Monistrol (Barcelona),,"Monistrol de Montserrat, Barcelona, Spain",41.611353,1.8464648,,,Spain,Catalonia,Barcelona,Barcelona
Cangas de Tineo (Oviedo),,"33800 Cangas del Narcea, Asturias, Spain",43.1773837,-6.5498404,33800,Cangas del Narcea,Spain,Asturias,Asturias,O
"St-Zéphirin, Qué.",,"Saint-Zéphirin-de-Courval, Quebec, QC J0G, Canada",46.059798,-72.62634,J0G,"Saint-Zéphirin-de-Courval, Quebec",Canada,Quebec,Nicolet-Yamaska Regional County Municipality,Nicolet-Yamaska Regional County Municipality
Marjeyoun (Liban),,"Marjaayoun, Lebanon",33.3594755,35.5889282,,Marjaayoun,Lebanon,Nabatiyeh Governorate,Marjaayoun,Marjaayoun
Bracht ,,"Bracht, 57392 Schmallenberg, Germany",51.1652297,8.1639807,57392,Schmallenberg,Germany,North Rhine-Westphalia,Arnsberg,Arnsberg
Albal (Valencia),,"46470 Albal, Valencia, Spain",39.3963775,-0.4136962,46470,Albal,Spain,Valencian Community,Valencia,V
Vega de Valcarce (León),,"24520 Vega de Valcarce, León, Spain",42.6640879,-6.9454043,24520,Vega de Valcarce,Spain,Castile and León,León,León
Caserras (Barcelona),,"08693 Casserres, Barcelona, Spain",42.0120819,1.8434162,8693,Casserres,Spain,Catalonia,Barcelona,Barcelona
Trocy (Seine-et-M),,"77200 Torcy, France",48.850572,2.654472,77200,Torcy,France,Île-de-France,Seine-et-Marne,Seine-et-Marne
Deutschleipe (Schlesien),,"Lipowa, Poland",49.6750613,19.0939008,34,Lipowa,Poland,Silesian Voivodeship,Żywiec County,Żywiec County
La Ferté-Bernard (Sarthe),,"72400 La Ferté-Bernard, France",48.185934,0.655979,72400,La Ferté-Bernard,France,Pays de la Loire,Sarthe,Sarthe
"Annapolis, Md.",,"Annapolis, MD, USA",38.9784453,-76.4921829,,Annapolis,United States,Maryland,Anne Arundel County,Anne Arundel County
San Martin de Via (Barcelona),,"Barcelona, Spain",41.3850639,2.1734035,,Barcelona,Spain,Catalonia,Barcelona,Barcelona
San Miguel (Ñuble),,"San Miguel, San Ignacio, Ñuble, Chile",-36.8167,-71.9667,,San Miguel,Chile,Ñuble,Provincia de Diguillín,Provincia de Diguillín
Sauce (Canelones),,"Sauce, Canelones Department, Uruguay",-34.6488719,-56.0668126,,Sauce,Uruguay,Canelones Department,,
Digulleville (Manche),,"Digulleville, 50440 La Hague, France",49.698865,-1.859213,50440,La Hague,France,Normandy,Manche,Manche
Dormeke (Westfalen),,"Dormecke, 59889 Eslohe (Sauerland), Germany",51.2176582,8.1153161,59889,Eslohe (Sauerland),Germany,Nordrhein-Westfalen,Arnsberg,Arnsberg
Damour (Liban),,"Damour, Lebanon",33.730609,35.4547306,,Damour,Lebanon,Mount Lebanon Governorate,Chouf,Chouf
Market Rasen (Lincoln),,"Market Rasen LN8, UK",53.387762,-0.333285,LN8,Market Rasen,United Kingdom,England,Lincolnshire,Lincolnshire
"Beauharnois, Qué.",,"Beauharnois, QC, Canada",45.3150817,-73.8779033,,Beauharnois,Canada,Quebec,Beauharnois-Salaberry Regional County Municipality,Beauharnois-Salaberry Regional County Municipality
Kis-Kun-Télegyháza (Magyarország),,"Kiskunfélegyháza, 6100 Hungary",46.7112802,19.8515196,6100,Kiskunfélegyháza,Hungary,,,
Monticelli (Roma),,"Via Teodoro Monticelli, 00197 Roma RM, Italy",41.923527,12.4804424,197,Roma,Italy,Lazio,Città Metropolitana di Roma,RM
"Clinton, Mass.",,"Clinton, MA, USA",42.4167635,-71.6829081,,Clinton,United States,Massachusetts,Worcester County,Worcester County
"Dynów, Rzesz.",,"Gmina Dynów, 36-065 Dynów, Poland",49.8090559,22.2270519,36-065,Dynów,Poland,Podkarpackie Voivodeship,rzeszowski,rzeszowski
Castelserás (Teruel),,"44630 Castelserás, Teruel, Spain",40.9806785,-0.1454032,44630,Castelserás,Spain,Aragon,Teruel,Teruel
Mościska ,,"Mostyska, Lviv Oblast, Ukraine",49.8026728,23.1469243,,Mostyska,Ukraine,Lviv Oblast,Mostys'kyi district,Mostys'kyi district
Isny (Schwaben),,"Bergtorstraße 7, 88316 Isny im Allgäu, Germany",47.6919339,10.0403804,88316,Isny im Allgäu,Germany,Baden-Württemberg,Tübingen,TÜ
Ceiroquinho-Faiaõ (Coimbra),,"Ceiroquinho, 3320 Pampilhosa da Serra, Portugal",40.133558,-7.933347,3320,Pampilhosa da Serra,Portugal,Coimbra,,
Thoisy la Bergère (Côte-d'Or),,"21210 Thoisy-la-Berchère, France",47.262161,4.345523,21210,Thoisy-la-Berchère,France,Bourgogne-Franche-Comté,Côte-d'Or,Côte-d'Or
Vendersheim (Hessen),,"Vendersheim, Germany",49.8665174,8.0692658,,Vendersheim,Germany,Rhineland-Palatinate,,
Herzlake (Hannover),,"49770 Herzlake, Germany",52.6819914,7.602529,49770,Herzlake,Germany,Lower Saxony,,
Molinfaing (Luxembourg),,"6840 Molinfaing, Belgium",49.87844,5.49568,6840,Molinfaing,Belgium,Wallonia,Luxembourg,LX
"Yazoo City, Miss.",,"Yazoo City, MS 39194, USA",32.8551326,-90.4056468,39194,Yazoo City,United States,Mississippi,Yazoo County,Yazoo County
"St-Arsène, Qué.",,"Saint-Arsène, QC G0L, Canada",47.9071928,-69.3981891,G0L,,Canada,Quebec,Rivière-du-Loup Regional County Municipality,Rivière-du-Loup Regional County Municipality
"Trenton, N.J.",,"Trenton, NJ, USA",40.2205824,-74.759717,,Trenton,United States,New Jersey,Mercer County,Mercer County
Cauveterre (Tarn),,"81240 Sauveterre, France",43.474238,2.553381,81240,Sauveterre,France,Occitanie,Tarn,Tarn
Bernardos (Segovia),,"Bernardos, Segovia, Spain",41.1273742,-4.3500904,,Bernardos,Spain,Castile and León,Segovia,SG
Schwarzach (Vorarlberg),,"Schwarzach, Austria",47.4485855,9.7625936,,Schwarzach,Austria,Vorarlberg,Bregenz District,Bregenz District
Ayuela (Palencia),,"34473 Ayuela, Palencia, Spain",42.6268294,-4.6595662,34473,Ayuela,Spain,Castile and León,Palencia,Palencia
St-Martin-de-Belleville (Savoie),,"Saint-Martin-de-Belleville, 73440 Les Belleville, France",45.3804019,6.504104,73440,Les Belleville,France,Auvergne-Rhône-Alpes,Savoie,Savoie
Asten (Österreich),,"Asten, Austria",48.2188234,14.4202806,,Asten,Austria,Upper Austria,Linz-Land District,Linz-Land District
Brookyn,,"Brooklyn, NY, USA",40.6781784,-73.9441579,,,United States,New York,Kings County,Kings County
"Dummore, Pa.",,"Dunmore, PA, USA",41.4198027,-75.6324112,,Dunmore,United States,Pennsylvania,Lackawanna County,Lackawanna County
"Nižny Medzev (Košice, Slovensko)",,"044 25 Nižný Medzev, Slovakia",48.7019129,20.8877812,044 25,,Slovakia,Košický kraj,Košice - okolie,Košice - okolie
Estaires (Nord),,"59940 Estaires, France",50.644248,2.721848,59940,Estaires,France,Hauts-de-France,Nord,Nord
Meade (Ireland),,"Meath, Co. Meath, Ireland",53.605548,-6.6564169,,,Ireland,County Meath,Meath,Meath
S. Pietro Apostolo (Catanzaro),,"88040 San Pietro Apostolo, Province of Catanzaro, Italy",38.990382,16.4818167,88040,,Italy,Calabria,Province of Catanzaro,CZ
Versillac (H-Loire),,"Versilhac, 43200 Yssingeaux, France",45.155688,4.183566,43200,Yssingeaux,France,Auvergne-Rhône-Alpes,Haute-Loire,Haute-Loire
Yaque (Perú),,Peru,-9.189967,-75.015152,,,Peru,,,
Birkenhead (Cheshire),,"Birkenhead, UK",53.389991,-3.023009,,Birkenhead,United Kingdom,England,Merseyside,Merseyside
"Conewago, Pa.",,"Conewago Township, PA, USA",39.7877712,-77.02766,,,United States,Pennsylvania,Adams County,Adams County
St-Denis (Lozère),,"48700 Saint-Denis-en-Margeride, France",44.735952,3.47099,48700,Saint-Denis-en-Margeride,France,Occitanie,Lozère,Lozère
"Richmond, Va.",,"Richmond, VA, USA",37.5407246,-77.4360481,,Richmond,United States,Virginia,,
Züls (Schlesien),,"Biała Prudnicka, Poland",50.3862574,17.6604283,48,Biała Prudnicka,Poland,Opole Voivodeship,Prudnik County,Prudnik County
Baar (Zug),,"Baar, Switzerland",47.1953729,8.526087,,Baar,Switzerland,Canton of Zug,Zug,Zug
Portumnia (Galway),,"Fairyhill, Portumna, Co. Galway, Ireland",53.0927811,-8.2185406,,Portumna,Ireland,County Galway,,
Teano (Caserta),,"81057 Teano, Province of Caserta, Italy",41.2492784,14.0682377,81057,Teano,Italy,Campania,Province of Caserta,CE
Götzis (Österreich),,"Götzis, Austria",47.3342869,9.6452461,,Götzis,Austria,Vorarlberg,Feldkirch District,Feldkirch District
Melksham (Wiltshire),,"Melksham, UK",51.370447,-2.137629,,Melksham,United Kingdom,England,Wiltshire,Wiltshire
